Time,Cable 16,Cable 17,Cable 18,W 8,W 9,W 10,W 11,W 12,W 13,W 14,W 15,W 16
2024-06-12 06:30:00,1682.100689,1670.158021,1471.170731,25,25.1,24.6,24.3,24,24.4,24.6,24.7,24.4
2024-06-12 07:00:00,1681.063119,1669.434816,1470.015035,24.9,25,24.5,24.2,24,24.3,24.6,24.6,24.3
2024-06-12 07:30:00,1680.240638,1668.717225,1470.615482,24.8,25,24.5,24.1,23.8,24.3,24.6,24.6,24.3
2024-06-12 08:00:00,1679.944279,1668.711974,1471.205,24.8,25,24.4,24.1,23.8,24.2,24.6,24.6,24.4
2024-06-12 08:30:00,1679.837801,1669.189644,1469.628285,25,25,24.4,24.1,23.8,24.1,24.8,24.7,24.8
2024-06-12 09:00:00,1678.735265,1668.21855,1467.699657,25.1,25.1,24.4,24.3,24,24.1,25.3,25,25.4
2024-06-12 09:30:00,1675.573016,1665.1632,1462.481318,25.3,25.3,24.5,24.6,24.3,24.2,25.6,25.2,26
2024-06-12 10:00:00,1672.843327,1662.682738,1457.62992,25.5,25.6,24.5,24.9,24.6,24.3,26,25.5,26.6
2024-06-12 10:30:00,1672.376026,1662.200052,1455.697763,25.6,25.7,24.5,25,24.8,24.3,26.3,25.6,27
2024-06-12 11:00:00,1674.263167,1664.436845,1454.527379,25.8,25.9,24.6,25.1,25,24.4,26.5,25.8,27.4
2024-06-12 11:30:00,1676.66765,1667.313186,1455.882884,26.2,26.1,24.8,25.6,25.5,24.5,27.1,26.3,28.4
2024-06-12 12:00:00,1674.325373,1665.9429,1453.581737,26.8,26.6,25,26.6,26.5,24.7,28,27,29.9
2024-06-12 12:30:00,1669.336183,1661.694316,1446.054624,27.5,27.3,25.3,27.8,27.6,25,29,27.9,31.5
2024-06-12 13:00:00,1665.704751,1659.565443,1440.635453,28.3,28,25.6,29.4,29,25.3,30.3,29,33.8
2024-06-12 13:30:00,1663.834291,1660.055498,1438.304136,29.1,28.8,26.1,31,30.3,25.7,31.6,30.2,36.6
2024-06-12 14:00:00,1664.033577,1661.066174,1437.923989,30.1,29.6,26.5,32.5,31.6,26,32.7,31.1,39.5
2024-06-12 14:30:00,1664.750332,1661.687073,1437.923989,31.2,30.4,27,33.7,32.8,26.5,33.9,32.1,39.3
2024-06-12 15:00:00,1665.098488,1662.676998,1439.461085,32.2,31.3,27.5,34.8,34,26.9,35.3,33.1,40
2024-06-12 15:30:00,1665.320224,1663.513735,1441.57415,32.8,31.9,27.8,35.3,34.6,27.3,36,33.6,40.7
2024-06-12 16:00:00,1668.067345,1665.54693,1444.091271,32.8,32.1,28.1,35.3,34.6,27.6,35.5,33.5,40.3
2024-06-12 16:30:00,1674.115928,1670.565326,1450.077873,33.4,32.5,28.5,35.5,35,28,35.3,33.8,40.4
